Stage,Script,Status in final manuscript,Primary output source
01,PRDX4_RECALC_01_MSigDB_LactateState.R,Final lactate-set and state definition,SC28_RECALC_01B_MSigDB_LactateState_20260806.zip
02,PRDX4_RECALC_02_ProliferationBalanced_Pseudobulk.R,Final proliferation-balanced and pseudobulk analysis,SC28_RECALC_02_ProliferationBalanced_Pseudobulk_20260806.zip
03,PRDX4_RECALC_03_CandidatePool_M050_ImpactAudit.R,Historical audit only; does not define final model,SC28_RECALC_03_CandidatePool_M050_ImpactAudit_20260806.zip
04C,PRDX4_RECALC_04_Clean101ML_EMTAB_CV_SEQC_External.R,Transitional rerun/platform audit; not final selection evidence,SC28_RECALC_04C_Clean101ML_EMTAB_CV_SEQC_External_20260808.zip
05,PRDX4_RECALC_05_RepeatedCV_SelectionAudit.R,Final model-selection and stability evidence,SC28_RECALC_05_RepeatedCV_SelectionAudit_20260808.zip
06,PRDX4_RECALC_06_LockM070_SEQC_External.R,Final model lock; initial scale-failure audit,Selected_Outputs/06_LockM070
06B,PRDX4_RECALC_06B_M070_SEQC_CohortZ_External.R,Final outcome-blind cross-platform correction and external validation,Selected_Outputs/06B_SEQC_External
07A,PRDX4_RECALC_07A_M070_Prognostic_ClinicalIncremental.R,Intermediate prognostic refresh; corrected by FIX1,SC28_RECALC_07A_M070_Prognostic_ClinicalIncremental_20260808.zip
07A-FIX1,PRDX4_RECALC_07A_FIX1_ClinicalDCA_AgeUnit.R,Final clinical age/DCA/calibration outputs,SC28_RECALC_07A_FIX1_ClinicalDCA_AgeUnit_20260808.zip
07B-FIX3,PRDX4_RECALC_07B_FIX3_M070_Pathway_ImmuneMechanism.R,Final pathway/immune/PRDX4 association outputs,SC28_RECALC_07B_FIX3_M070_Pathway_ImmuneMechanism_20260809.zip
07C,PRDX4_RECALC_07C_CommonGeneUniverse_PathwaySensitivity.R,Terminal cross-platform sensitivity analysis,SC28_RECALC_07C_CommonGeneUniverse_PathwaySensitivity_20260809.zip

